Date;Closing;Volume
20042017;12047,67;824411776
19042017;12016,45;2923603456
18042017;12000,44;3319585280
13042017;12109;2756005888
12042017;12154,70;2868117760
11042017;12139,35;3128939264
10042017;12200,52;2085668096
07042017;12225,06;2747761920
06042017;12230,89;2800039680
05042017;12217,54;3087911168
04042017;12282,34;3661636608
03042017;12257,20;3161620224
31032017;12312,87;3991888640
30032017;12256,43;2926485248
29032017;12203;3387489536
28032017;12149,42;3204567552
27032017;11996,07;3037007360
24032017;12064,27;3150825216
23032017;12039,68;3014812416
22032017;11904,12;3632624384
21032017;11962,13;4164479232
20032017;12052,90;3016690432
17032017;12095,24;6839700480
16032017;12083,18;4289922304
15032017;12009,87;3230866944
14032017;11988,79;3455290624
13032017;11990,03;2785074432
10032017;11963,18;3578962944
09032017;11978,39;3781508864
08032017;11967,31;3586542336
07032017;11966,14;2710289664
06032017;11958,40;2979907840
03032017;12027,36;3248293120
02032017;12059,57;2877343488
01032017;12067,19;3904585472
28022017;11834,41;2882963456
27022017;11822,67;2441525504
24022017;11804,03;3961140224
23022017;11947,83;2880619264
22022017;11998,59;3820116736
21022017;11967,49;3242747904
20022017;11827,62;2027491584
17022017;11757,02;3721179136
16022017;11757,24;2769516800
15022017;11793,93;2945084160
14022017;11771,81;2499493632
13022017;11774,43;2599375872
10022017;11666,97;2758938368
09022017;11642,86;3498646272
08022017;11543,38;3444828416
07022017;11549,44;2854480896
06022017;11509,84;3605544960
03022017;11651,49;3025522688
02022017;11627,95;3666137344
01022017;11659,50;3874852864
31012017;11535,31;3955432448
30012017;11681,89;2920500480
27012017;11814,27;2860830208
26012017;11848,63;3425865984
25012017;11806,05;4289231616
24012017;11594,94;3009022464
23012017;11545,75;3007730688
20012017;11630,13;4065630464
19012017;11596,89;3037434624
18012017;11599,39;2718115072
17012017;11540;2996372224
16012017;11554,71;2150898688
13012017;11629,18;2948283392
12012017;11521,04;3546258432
11012017;11646,17;3500303360
10012017;11583,30;3187543296
09012017;11563,99;3245823488
06012017;11599,01;2471523072
05012017;11584,94;2888647680
04012017;11584,31;2927054336
03012017;11584,24;3353522432
02012017;11598,33;1758606720
30122016;11481,06;1696761472
29122016;11451,05;1569502592
28122016;11474,99;1625874944
27122016;11472,24;1068404352
23122016;11449,93;1741272064
22122016;11456,10;2054211712
21122016;11468,64;2512891392
20122016;11464,74;3202507264
19122016;11426,70;2816858624
16122016;11404,01;7778210304
15122016;11366,40;5132720128
14122016;11244,84;3154472448
13122016;11284,65;3494441984
12122016;11190,21;3117105152
09122016;11203,63;3674611456
08122016;11179,42;5772569600
07122016;10986,69;4833741824
06122016;10775,32;3531802368
05122016;10684,83;3561104640
02122016;10513,35;2917970176
01122016;10534,05;3309486080
30112016;10640,30;3830690560
29112016;10620,49;2609688832
28112016;10582,67;2385036288
25112016;10699,27;1948722560
24112016;10689,26;1866168832
23112016;10662,44;3234533376
22112016;10713,85;2864734720
21112016;10685,13;2611475200
18112016;10664,56;3546966272
17112016;10685,54;3116907520
16112016;10663,87;3527922432
15112016;10735,14;3245872896
14112016;10693,69;4044997120
11112016;10667,95;4375869440
10112016;10630,12;6150979584
09112016;10646,01;6392793600
08112016;10482,32;2596343552
07112016;10456,95;2778862336
04112016;10259,13;3140148480
03112016;10325,88;2981269760
02112016;10370,93;2972640000
01112016;10526,16;2668811776
31102016;10665,01;2577423872
28102016;10696,19;2751334400
27102016;10717,08;2955536384
26102016;10709,68;2761899776
25102016;10757,31;2842176512
24102016;10761,17;2616418048
21102016;10710,73;3216540672
20102016;10701,39;3199825920
19102016;10645,68;2494588672
18102016;10631,55;3010760960
17102016;10503,57;2246807808
14102016;10580,38;2953177344
13102016;10414,07;3069867008
12102016;10523,07;2672170752
11102016;10577,16;2712696320
10102016;10624,08;2718971392
07102016;10490,86;3494976000
06102016;10568,80;2966803456
05102016;10585,78;2823106048
04102016;10619,61;3956244992
30092016;10511,02;4749592576
29092016;10405,54;2764182016
28092016;10438,34;2539031296
27092016;10361,48;3057155328
26092016;10393,71;3174774528
23092016;10626,97;2359674368
22092016;10674,18;3469935104
21092016;10436,49;2411066112
20092016;10393,86;2449123584
19092016;10373,87;2349239296
16092016;10276,17;7952812544
15092016;10431,20;3079092480
14092016;10378,40;3242625280
13092016;10386,60;2836036864
12092016;10431,77;4042305024
09092016;10573,44;2974281472
08092016;10675,29;3015638016
07092016;10752,98;2459660544
06092016;10687,14;2398182656
05092016;10672,22;1789703040
02092016;10683,82;2774963200
01092016;10534,31;2948616960
31082016;10592,69;2751692288
30082016;10657,64;2183854336
29082016;10544,44;1182477312
26082016;10587,77;1816539776
25082016;10529,59;2024142848
24082016;10622,97;2009244672
23082016;10592,88;2115268352
22082016;10494,35;2223463936
19082016;10544,36;2791393024
18082016;10603,03;1973741056
17082016;10537,67;2395796736
16082016;10676,65;2665496832
15082016;10739,21;1480656512
12082016;10713,43;2033601152
11082016;10742,84;2432616960
10082016;10650,89;2930663680
09082016;10692,90;3070608384
08082016;10432,36;2379652864
05082016;10367,21;2934592000
04082016;10227,86;2842752000
03082016;10170,21;2587102976
02082016;10144,34;3217073408
01082016;10330,52;2482644736
29072016;10337,50;3123424512
28072016;10274,93;3620665600
27072016;10319,55;2957678592
26072016;10247,76;2261516032
25072016;10198,24;2034054016
22072016;10147,46;2008787072
21072016;10156,21;2983901184
20072016;10142,01;2961921792
19072016;9981,24;2312279296
18072016;10063,13;2206529792
15072016;10066,90;2762833408
14072016;10068,30;3211157248
13072016;9930,71;2899576832
12072016;9964,07;3258404864
11072016;9833,41;2618308096
08072016;9629,66;2977126912
07072016;9418,78;2757468672
06072016;9373,26;3779172096
05072016;9532,61;3142076416
04072016;9709,09;2062938880
01072016;9776,12;3220519936
30062016;9680,09;3963569664
29062016;9612,27;
28062016;9447,28;4223710720
27062016;9268,66;6232750592
24062016;9557,16;10727238656
23062016;10257,03;3614504704
22062016;10071,06;2627471872
21062016;10015,54;2669011712
20062016;9962,02;3230448128
17062016;9631,36;5196787200
16062016;9550,47;3340589824
15062016;9606,71;3157686784
14062016;9519,20;3568644608
13062016;9657,44;3285810432
10062016;9834,62;3452808960
09062016;10088,87;2928315904
08062016;10217,03;2213014784
07062016;10287,68;2719123712
06062016;10121,08;1713726336
03062016;10103,26;3209622784
02062016;10208;2365217280
01062016;10204,44;2818397440
31052016;10262,74;3906625536
30052016;10333,23;1423674240
27052016;10286,31;2495395328
26052016;10272,71;2742720256
25052016;10205,21;3552722176
24052016;10057,31;3600445440
23052016;9842,29;3177647360
20052016;9916,02;3153354240
19052016;9795,89;3685027328
18052016;9943,23;2606481920
17052016;9890,19;3306354432
13052016;9952,90;3125328384
12052016;9862,12;3753891072
11052016;9975,32;2813027328
10052016;10045,44;2903499008
09052016;9980,49;2658690304
06052016;9869,95;3196742912
05052016;9851,86;2460943616
04052016;9828,25;3572359680
03052016;9926,77;3855804672
02052016;10123,27;2498756608
29042016;10038,97;4493308928
28042016;10321,15;3416793600
27042016;10299,83;3632449536
26042016;10259,59;2788585472
25042016;10294,35;2705661440
22042016;10373,49;3424083968
21042016;10435,73;3744342016
20042016;10421,29;3374121472
19042016;10349,59;3702526976
18042016;10120,31;2408077824
15042016;10051,57;3134910464
14042016;10093,65;2842146560
13042016;10026,10;3679041024
12042016;9761,47;2382229248
11042016;9682,99;2599766528
08042016;9622,26;2700078848
07042016;9530,62;2934446080
06042016;9624,51;3160854016
05042016;9563,36;3505048832
04042016;9822,08;2523389440
01042016;9794,64;3617976576
31032016;9965,51;2950319872
30032016;10046,61;2897283328
29032016;9887,94;2262522112
24032016;9851,35;2682001152
23032016;10022,93;3017941760
22032016;9990;2793933568
21032016;9948,64;2869096704
18032016;9950,80;8494747648
17032016;9892,20;3903401728
16032016;9983,41;3237577216
15032016;9933,85;2655412992
14032016;9990,26;3042022912
11032016;9831,13;3800439296
10032016;9498,15;6030106624
09032016;9723,09;3439289856
08032016;9692,82;3311015680
07032016;9778,93;2519621888
04032016;9824,17;3380773376
03032016;9751,92;3003942400
02032016;9776,62;3515852032
01032016;9717,16;3361669888
29022016;9495,40;3332891904
26022016;9513,30;3543656192
25022016;9331,48;3393822976
24022016;9167,80;3577020416
23022016;9416,77;2944217088
22022016;9573,59;2807951872
19022016;9388,05;3694096128
18022016;9463,64;3655541504
17022016;9377,21;3617709568
16022016;9135,11;3089120256
15022016;9206,84;3569944832
12022016;8967,51;4154094592
11022016;8752,87;4673121280
10022016;9017,29;4044150784
09022016;8879,40;4998994432
08022016;8979,36;4875351552
05022016;9286,23;4369835520
04022016;9393,36;4731516416
03022016;9434,82;4300801024
02022016;9581,04;3541710848
01022016;9757,88;3072775936
29012016;9798,11;4079750400
28012016;9639,59;3905354496
27012016;9880,82;3282937856
26012016;9822,75;3895965184
25012016;9736,15;3197269248
22012016;9764,88;4370950656
21012016;9574,16;4963624448
20012016;9391,64;4825819136
19012016;9664,21;3396201216
18012016;9521,85;3383297536
15012016;9545,27;5862219264
14012016;9794,20;5324136448
13012016;9960,96;3430627328
12012016;9985,43;3708558080
11012016;9825,07;3578257664
08012016;9849,34;3938901760
07012016;9979,85;5048312832
06012016;10214,02;3592296704
05012016;10310,10;3470784256
04012016;10283,44;4934835712
